Name,Google Maps,Tags
Life,https://maps.app.goo.gl/hMA7DQ3HvzoVufwk7,Local Markets
LAWSON,https://maps.app.goo.gl/1qyxZVsHN8fjJJJb8,Convenience Store
全家,https://maps.app.goo.gl/CRD1vhzZ4pLTK4Ae6,Convenience Store
7-11,https://maps.app.goo.gl/rkChJxLzP3TXZwS37,Convenience Store
24H 生鮮超市,https://maps.app.goo.gl/3yYTJEdMT1aM7gFAA,Local Markets
